ProducerRecord(topic=test, partition=null, key=null, value=/subject/147056!@#21卫门 剧场版2!@#21エモン 宇宙いけ!裸足のプリンセス!@#1992年3月7日!@#http://lain.bgm.tv/pic/cover/s/f7/e8/147056_vWXFd.jpg!@#http://bangumi.tv/subject/147056
ProducerRecord(topic=test, partition=null, key=null, value=/subject/74285!@#21時の女!@#o_o ....!@#3话 / 2001/02/21!@#http://bangumi.tv/img/no_icon_subject.png!@#http://bangumi.tv/subject/74285
ProducerRecord(topic=test, partition=null, key=null, value=/subject/220445!@#22/7!@#o_o ....!@#!@#http://lain.bgm.tv/pic/cover/s/a3/e3/220445_E3Rkm.jpg!@#http://bangumi.tv/subject/220445
ProducerRecord(topic=test, partition=null, key=null, value=/subject/228260!@#23F!@#23F!@#1话 / 2014-06-14!@#http://lain.bgm.tv/pic/cover/s/4a/e5/228260_aupH0.jpg!@#http://bangumi.tv/subject/228260
ProducerRecord(topic=test, partition=null, key=null, value=/subject/206114!@#4月25日!@#25 April!@#2016!@#http://lain.bgm.tv/pic/cover/s/23/84/206114_0Z0y7.jpg!@#http://bangumi.tv/subject/206114
ProducerRecord(topic=test, partition=null, key=null, value=/subject/131051!@#戒烟25法!@#25 Ways to Quit Smoking!@#1989!@#http://lain.bgm.tv/pic/cover/s/c1/00/131051_NGzL8.jpg!@#http://bangumi.tv/subject/131051
ProducerRecord(topic=test, partition=null, key=null, value=/subject/230517!@#25岁的女高中生!@#25歳の女子高生!@#12话 / 2018年1月7日 / マカナ!@#http://bangumi.tv/img/no_icon_subject.png!@#http://bangumi.tv/subject/230517
ProducerRecord(topic=test, partition=null, key=null, value=/subject/137757!@#2B HERO!@#o_o ....!@#1话 / 2015年6月19日 / 李豪凌!@#http://lain.bgm.tv/pic/cover/s/50/c2/137757_VfM2F.jpg!@#http://bangumi.tv/subject/137757
ProducerRecord(topic=test, partition=null, key=null, value=/subject/263988!@#受难三美人!@#3 Misses!@#1998!@#http://lain.bgm.tv/pic/cover/s/7f/0e/263988_VUM2i.jpg!@#http://bangumi.tv/subject/263988
ProducerRecord(topic=test, partition=null, key=null, value=/subject/192029!@#300円のおつきあい Anime Edition!@#o_o ....!@#1话 / 2016/09/02!@#http://bangumi.tv/img/no_icon_subject.png!@#http://bangumi.tv/subject/192029
ProducerRecord(topic=test, partition=null, key=null, value=/subject/10384!@#30岁的保健体育!@#30歳の保健体育!@#12话 / 2011年4月6日 / 三叶!@#http://lain.bgm.tv/pic/cover/s/c7/74/10384_49prd.jpg!@#http://bangumi.tv/subject/10384
ProducerRecord(topic=test, partition=null, key=null, value=/subject/229805!@#3D彼女!@#3D彼女 リアルガール!@#12话 / 2018年4月3日 / 直谷たかし / 那波マオ「3D彼女 リアルガール」（講談社「KCデザート」刊） / 栗田聡美!@#http://lain.bgm.tv/pic/cover/s/9e/07/229805_6bcTk.jpg!@#http://bangumi.tv/subject/229805
ProducerRecord(topic=test, partition=null, key=null, value=/subject/250514!@#3D彼女 第二季!@#3D彼女 リアルガール 第2シリーズ!@#2019年1月8日 / 那波マオ「3D彼女 リアルガール」（講談社「KCデザート」刊）!@#http://lain.bgm.tv/pic/cover/s/28/a4/250514_BNBt6.jpg!@#http://bangumi.tv/subject/250514
ProducerRecord(topic=test, partition=null, key=null, value=/subject/125448!@#3PingLovers!☆一夫二妻の世界へようこそ? THE ANIMATION!@#o_o ....!@#1话 / 2015年5月22日!@#http://bangumi.tv/img/no_icon_subject.png!@#http://bangumi.tv/subject/125448
ProducerRecord(topic=test, partition=null, key=null, value=/subject/8356!@#三只眼!@#3×3 EYES!@#4话 / 1991年7月25日 / 西尾大介 / 高田裕三!@#http://lain.bgm.tv/pic/cover/s/b4/5f/8356_uaz89.jpg!@#http://bangumi.tv/subject/8356
ProducerRecord(topic=test, partition=null, key=null, value=/subject/8357!@#三只眼 圣魔传说!@#3×3 EYES ?聖魔伝説?!@#3话 / 1995年7月25日 / 竹之内和久 / 高田裕三 / 熊谷哲矢!@#http://lain.bgm.tv/pic/cover/s/b1/c1/8357_bYG78.jpg!@#http://bangumi.tv/subject/8357
num_of_pages: 3
ProducerRecord(topic=test, partition=null, key=null, value=/subject/191390!@#3年D班玻璃假面!@#3ねんDぐみガラスの仮面!@#13话 / 2016年10月3日 / 町田道雄!@#http://lain.bgm.tv/pic/cover/s/86/97/191390_V1vJW.jpg!@#http://bangumi.tv/subject/191390
ProducerRecord(topic=test, partition=null, key=null, value=/subject/8247!@#猫狗宠物街!@#3丁目のタマ うちのタマ知りませんか?!@#9话 / 1993年7月3日 / 前田庸生 / sony music entertainment / 島田良一!@#http://lain.bgm.tv/pic/cover/s/31/5f/8247_xTJXO.jpg!@#http://bangumi.tv/subject/8247
ProducerRecord(topic=test, partition=null, key=null, value=/subject/8248!@#猫狗宠物街 第2期!@#3丁目のタマ うちのタマ知りませんか? 第2期!@#26话 / 1994年4月3日 / 武藤裕治 / sony music entertainment / 大島りえ!@#http://lain.bgm.tv/pic/cover/s/51/d1/8248_GRC0K.jpg!@#http://bangumi.tv/subject/8248
